국가,백신접종수,Enough_for_percent_of_people:,1차접종,2차접종,일별접종수
Slovakia,4755737.0,43.6,44.8,41.2,5792.0
Qatar,4696753.0,84.0,84.4,79.4,4560.0
Oman,4636486.0,55.3,67.0,43.5,74904.0
Mongolia,4545348.0,68.9,68.3,64.5,16573.0
Paraguay,4488153.0,31.4,36.7,26.1,9811.0
Laos,4402770.0,30.7,39.1,26.7,9906.0
Tajikistan,3872421.0,20.8,24.8,16.8,70941.0
Mozambique,3644423.0,5.8,6.1,5.6,54234.0
Kenya,3613357.0,3.8,5.7,1.9,34110.0
Ethiopia,3535329.0,1.8,2.9,0.8,50101.0
Rwanda,3409470.0,13.7,16.4,11.6,17256.0
Croatia,3408049.0,41.9,44.4,41.6,5675.0
Belarus,3389520.0,17.9,19.8,16.0,26145.0
Lithuania,3339375.0,60.0,61.8,58.2,21363.0
Angola,3134137.0,5.2,7.1,3.3,44858.0
Afghanistan,3133227.0,4.2,2.6,1.2,765279.0
Lebanon,2929966.0,21.4,23.5,19.3,28922.0
Bahrain,2561756.0,86.3,78.4,74.9,3352.0
Bulgaria,2513769.0,18.1,17.3,18.9,6080.0
Kuwait,2380000.0,25.1,56.2,19.4,12990.0
Slovenia,2107230.0,52.0,54.0,47.9,6696.0
Uganda,2058553.0,2.6,4.1,1.0,90201.0
Ivory Coast,1968171.0,3.7,5.6,1.4,29585.0
Senegal,1784832.0,5.5,7.6,3.5,2395.0
Georgia,1749457.0,23.5,26.1,20.9,13488.0
Guinea,1699898.0,6.2,8.5,3.9,36444.0
Albania,1693555.0,29.5,32.5,26.5,6947.0
Sudan,1650828.0,1.9,1.5,1.3,21549.0
Ghana,1643172.0,2.7,2.9,2.5,6530.0
Mauritius,1633952.0,64.5,66.8,62.2,1155.0
Latvia,1616636.0,42.1,47.3,43.3,4355.0
Libya,1546967.0,11.8,20.7,2.5,11809.0
North Macedonia,1495762.0,36.0,37.6,34.3,6067.0
Kyrgyzstan,1411946.0,11.0,12.7,9.4,10432.0
Moldova,1388566.0,25.9,22.9,28.9,3566.0
Estonia,1359926.0,51.3,57.0,45.6,3577.0
Kosovo,1274156.0,35.4,42.8,28.0,15307.0
Cyprus,1146345.0,65.4,67.7,62.5,2315.0
Malawi,1087426.0,2.7,3.9,2.4,8588.0
Bhutan,1068414.0,71.7,77.1,66.3,3185.0
Bosnia and Herzegovina,1060145.0,16.1,19.2,12.9,7334.0
Trinidad and Tobago,1045498.0,37.5,41.5,34.3,3358.0
Togo,997632.0,6.2,7.4,4.8,23544.0
Fiji,975268.0,54.5,65.7,43.3,9017.0
Mauritania,890122.0,11.0,7.9,0.5,2501.0
Malta,816767.0,82.7,85.1,85.0,716.0
Nicaragua,788502.0,6.0,7.7,4.4,2155.0
Luxembourg,783832.0,63.8,67.5,65.1,512.0
Maldives,727664.0,97.8,105.3,90.3,756.0
Jamaica,715860.0,13.1,19.0,8.1,1506.0
Zambia,702462.0,1.9,1.8,2.1,6706.0
Timor-Leste,675891.0,26.1,32.8,19.4,4083.0
Macau,649564.0,47.8,51.2,44.6,4123.0
Niger,621853.0,1.3,1.7,0.4,9294.0
Botswana,606699.0,12.8,17.2,9.5,2729.0
Iceland,551110.0,77.2,78.8,77.2,985.0
Syria,533949.0,-999.0,-999.0,-999.0,23498.0
Guyana,533843.0,34.0,44.8,23.2,3349.0
Somalia,464359.0,1.5,1.7,1.2,10602.0
Cameroon,461201.0,0.9,1.5,0.3,1267.0
Montenegro,450451.0,36.2,38.3,33.6,2039.0
Brunei,443676.0,48.2,58.7,37.8,5475.0
Madagascar,417648.0,0.8,0.7,0.7,5145.0
Cape Verde,414300.0,37.7,51.7,21.8,4083.0
Armenia,408535.0,6.9,8.9,4.8,5965.0
Namibia,407502.0,8.3,10.5,6.5,4761.0
Mali,405053.0,1.1,1.7,0.5,1290.0
Suriname,391985.0,32.8,37.6,28.0,2161.0
Tanzania,389807.0,0.3,-999.0,-999.0,5687.0
Equatorial Guinea,387510.0,14.2,16.4,12.1,2622.0
Comoros,336863.0,19.3,20.0,18.5,249.0
Lesotho,332954.0,8.1,12.2,11.7,6246.0
Republic of the Congo,329905.0,3.6,4.7,2.5,1525.0
Yemen,322934.0,0.5,1.0,0.05,244.0
Belize,304218.0,37.3,47.6,28.2,2894.0
Liberia,284246.0,3.1,2.3,0.6,9750.0
Burkina Faso,254545.0,0.6,1.2,0.8,8839.0
Eswatini,240002.0,10.8,18.7,17.9,1275.0
Barbados,234124.0,40.8,46.1,35.5,1517.0
Sierra Leone,232375.0,1.5,2.4,0.5,805.0
Benin,226269.0,1.0,1.3,0.2,1696.0
Gambia,207195.0,4.4,7.8,7.1,357.0
Central African Republic,187160.0,2.0,3.0,0.2,212.0
Curaçao,186793.0,57.3,60.0,54.6,231.0
Bahamas,184461.0,24.2,30.0,18.4,411.0
Gabon,180320.0,4.3,4.9,3.8,1283.0
Papua New Guinea,164776.0,1.0,1.4,0.5,2517.0
Aruba,155660.0,69.5,72.5,66.5,146.0
Jersey,150891.0,-999.0,-999.0,-999.0,80.0
Samoa,149431.0,37.2,49.3,25.0,981.0
Seychelles,148402.0,77.3,80.5,74.1,154.0
Chad,142548.0,0.4,0.7,0.2,2785.0
DR Congo,134945.0,0.1,0.1,0.05,637.0
Isle of Man,129302.0,76.1,77.0,75.1,232.0
Cayman Islands,109789.0,84.5,84.4,84.4,1251.0
South Sudan,103751.0,0.4,0.6,0.2,1102.0
Greenland,102357.0,89.8,124.5,64.3,300.0
Guernsey,101898.0,-999.0,-999.0,-999.0,45.0
Solomon Islands,97744.0,7.6,11.6,3.6,2902.0
Guinea-Bissau,94715.0,2.7,4.9,0.4,3807.0
Andorra,93430.0,60.7,67.0,54.3,98.0
Bermuda,86676.0,68.8,69.6,68.0,60.0
Antigua and Barbuda,86542.0,44.6,49.4,38.0,749.0
Sao Tome and Principe,82679.0,19.4,28.4,8.5,2448.0
Gibraltar,79502.0,116.9,117.4,116.4,28.0
St. Lucia,75827.0,21.1,24.9,17.2,583.0
Faroe Islands,73959.0,75.5,77.5,73.5,86.0
Tonga,73603.0,36.8,46.1,27.5,274.0
Micronesia,72085.0,34.7,41.6,-999.0,297.0
Djibouti,67229.0,3.1,3.8,2.4,174.0
Haiti,64799.0,0.3,0.4,0.2,588.0
Grenada,55663.0,25.5,30.4,20.7,579.0
Turks & Caicos,52374.0,68.9,72.2,65.6,77.0
Monaco,49980.0,64.1,68.4,59.8,120.0
Sint Maarten,49310.0,58.7,61.2,56.2,22.0
Saint Kitts and Nevis,47098.0,41.3,44.2,38.5,31.0
San Marino,47088.0,69.2,71.8,71.8,11.0
Dominica,44624.0,31.4,33.3,29.6,82.0
Turkmenistan,41993.0,0.4,0.6,0.2,-999.0
St. Vincent and the Grenadines,33077.0,15.0,18.2,11.9,113.0
Anguilla,18584.0,61.9,63.3,60.6,2.0
Nauru,14863.0,57.2,58.6,55.8,4.0
St. Helena,7892.0,65.8,72.7,58.9,8.0
Falkland Islands,4407.0,73.5,87.7,59.2,202.0
Montserrat,2871.0,28.7,29.7,27.8,2.0
Eritrea,-999.0,-999.0,-999.0,-999.0,-999.0
